County,State,Population
LaGrange County,Indiana,"38,616"
Lake County,Indiana,"487,908"
LaPorte County,Indiana,"110,835"
Lawrence County,Indiana,"45,568"
Madison County,Indiana,"129,388"
Marion County,Indiana,"939,843"
Marshall County,Indiana,"46,733"
Martin County,Indiana,"10,216"
Miami County,Indiana,"36,004"
Monroe County,Indiana,"144,247"
Montgomery County,Indiana,"38,243"
Morgan County,Indiana,"69,559"
Newton County,Indiana,"13,971"
Noble County,Indiana,"47,515"
Ohio County,Indiana,"5,877"
Orange County,Indiana,"19,634"
Owen County,Indiana,"20,826"
Parke County,Indiana,"16,970"
Perry County,Indiana,"19,310"
Pike County,Indiana,"12,407"
Porter County,Indiana,"167,334"
Posey County,Indiana,"25,613"
Pulaski County,Indiana,"12,804"
Putnam County,Indiana,"37,382"
Randolph County,Indiana,"25,138"
Ripley County,Indiana,"28,372"
Rush County,Indiana,"16,708"
St. Joseph County,Indiana,"268,361"
Scott County,Indiana,"23,660"
Shelby County,Indiana,"44,341"
Spencer County,Indiana,"20,640"
Starke County,Indiana,"22,860"
Steuben County,Indiana,"34,469"
Sullivan County,Indiana,"20,874"
Switzerland County,Indiana,"10,614"
Tippecanoe County,Indiana,"186,723"
Tipton County,Indiana,"15,249"
Union County,Indiana,"7,185"
Vanderburgh County,Indiana,"181,504"
Vermillion County,Indiana,"15,593"
Vigo County,Indiana,"107,533"
Wabash County,Indiana,"31,860"
Warren County,Indiana,"8,270"
Warrick County,Indiana,"61,522"
Washington County,Indiana,"27,774"
Wayne County,Indiana,"66,972"
Wells County,Indiana,"27,851"
White County,Indiana,"24,274"
Whitley County,Indiana,"33,444"
Adair County,Iowa,"7,145"
Adams County,Iowa,"3,754"
Allamakee County,Iowa,"13,874"
Appanoose County,Iowa,"12,577"
Audubon County,Iowa,"5,711"
Benton County,Iowa,"25,608"
Black Hawk County,Iowa,"133,701"
Boone County,Iowa,"26,443"
Bremer County,Iowa,"24,746"
Buchanan County,Iowa,"21,105"
Buena Vista County,Iowa,"20,374"
Butler County,Iowa,"14,881"
Calhoun County,Iowa,"9,801"
Carroll County,Iowa,"20,423"
Cass County,Iowa,"13,351"
Cedar County,Iowa,"18,254"
Cerro Gordo County,Iowa,"42,983"
Cherokee County,Iowa,"11,483"
Chickasaw County,Iowa,"12,151"
Clarke County,Iowa,"9,219"
Clay County,Iowa,"16,498"
Clayton County,Iowa,"17,726"
Clinton County,Iowa,"47,558"
Crawford County,Iowa,"17,082"
Dallas County,Iowa,"80,631"
Davis County,Iowa,"8,777"
Decatur County,Iowa,"8,137"
Delaware County,Iowa,"17,393"
Des Moines County,Iowa,"39,874"
